Canonical Name,lat,long
"Amherstburg,Ontario,Canada",42.1013379,-83.1086355
"Ancaster,Ontario,Canada",43.225693,-79.976692
"Angling Lake,Ontario,Canada",53.8468539,-89.5317959
"Angus,Ontario,Canada",44.3248565,-79.8883585
"Apsley,Ontario,Canada",44.7556176,-78.0898294
"Arnprior,Ontario,Canada",45.435081,-76.357384
"Arva,Ontario,Canada",43.0504756,-81.2948873
"Atikokan,Ontario,Canada",48.762526,-91.624603
"Aurora,Ontario,Canada",43.99973,-79.467545
"Aylmer,Ontario,Canada",42.773227,-80.983658
"Ayr,Ontario,Canada",43.2855122,-80.4507012
"Baden,Ontario,Canada",43.40378,-80.668923
"Balmertown,Ontario,Canada",51.05701885,-93.7438959566882
"Bancroft,Ontario,Canada",45.058244,-77.851524
"Bannockburn,Ontario,Canada",47.9918399,-80.9267388
"Barrie,Ontario,Canada",44.3893113,-79.6901736
"Barry's Bay,Ontario,Canada",45.488298,-77.679176
"Barwick,Ontario,Canada",48.6470474,-93.9848646
"Beamsville,Ontario,Canada",43.1654577,-79.4751839
"Beaverton,Ontario,Canada",44.4296227,-79.1550193
"Belleville,Ontario,Canada",44.2436328,-77.3607597
"Bethany,Ontario,Canada",44.1825847,-78.5667944
"Big Trout Lake,Ontario,Canada",53.8231082,-89.8905535
"Blenheim,Ontario,Canada",42.3344506,-81.9974484
"Blind River,Ontario,Canada",46.20050365,-83.0264243262773
"Bloomfield,Ontario,Canada",43.9863908,-77.2300533
"Bolton,Ontario,Canada",43.879548,-79.73826
"Bonfield,Ontario,Canada",46.2323763,-79.1477157
"Bowmanville,Ontario,Canada",43.9105141,-78.6801392
"Bracebridge,Ontario,Canada",45.041508,-79.310989
"Bramalea,Ontario,Canada",43.7204722,-79.7218702
"Brampton,Ontario,Canada",43.6858146,-79.7599337
"Brantford,Ontario,Canada",43.141078,-80.266113
"Selwyn,Ontario,Canada",44.42370665,-78.3685471728687
"Brockville,Ontario,Canada",44.6039207,-75.7016829
"Burgessville,Ontario,Canada",43.0237874,-80.653369
"Burk's Falls,Ontario,Canada",45.6202244,-79.408916
"Burlington,Ontario,Canada",43.3248924,-79.7966835
"Cache Bay,Ontario,Canada",46.3737816,-79.9885393
"Caledon,Ontario,Canada",43.875427,-79.858285
"Cambridge,Ontario,Canada",43.3855479,-80.3113582
"Campbellford,Ontario,Canada",44.3085912,-77.798084
"Campbellville,Ontario,Canada",43.4871704,-79.9821917
"Capreol,Ontario,Canada",46.7065779,-80.9208165
"Carleton Place,Ontario,Canada",45.1403366,-76.1465672
"Carlisle,Ontario,Canada",43.1280687,-81.4830651
"Carp,Ontario,Canada",45.345148,-76.03672
"Casselman,Ontario,Canada",45.313529,-75.086746
"Cayuga,Ontario,Canada",42.952055,-79.858002
"Chalk River,Ontario,Canada",45.9945845,-77.3942166
"Chapleau,Ontario,Canada",47.845632,-83.4018741
"Chatham,Ontario,Canada",42.405207,-82.191467
"Chatsworth,Ontario,Canada",44.4560807,-80.8978758
"Chelmsford,Ontario,Canada",46.5691573,-81.1978944
"Chesley,Ontario,Canada",44.2969355,-81.0939481
"Chesterville,Ontario,Canada",45.1024266,-75.2289179
"Churchville,Ontario,Canada",42.5642904,-81.6178665
"Clarence Creek,Ontario,Canada",45.52854,-75.2452523
"Clarkson,Ontario,Canada",43.5110439,-79.6299343
"Clifford,Ontario,Canada",43.9700865,-80.9752464
"Clinton,Ontario,Canada",43.617187,-81.539576
"Cobden,Ontario,Canada",45.6276233,-76.8790385
"Cobourg,Ontario,Canada",43.963909,-78.169098
"Cochrane,Ontario,Canada",50.630898,-82.1914444
"Colborne,Ontario,Canada",44.0050196,-77.8879789
"Coldwater,Ontario,Canada",44.7097402,-79.6439762
"Collingwood,Ontario,Canada",44.496505,-80.217018
"Comber,Ontario,Canada",42.2324646,-82.5524942
"Concord,Ontario,Canada",43.8006713,-79.4990762
"Cookstown,Ontario,Canada",44.1897548,-79.7017017
"Cooksville,Ontario,Canada",43.5802444,-79.6163757
"Copper Cliff,Ontario,Canada",46.4696448,-81.0661201986692
"Cornwall,Ontario,Canada",45.0469989,-74.7333845
"Cottam,Ontario,Canada",42.1284542,-82.7441915
"Courtice,Ontario,Canada",43.8775063,-78.7724535
"Creemore,Ontario,Canada",44.327104,-80.1084149
"Deep River,Ontario,Canada",46.101328,-77.487602
"Deer Lake Indian Reserve,Ontario,Canada",52.64275,-94.098041
"Delta,Ontario,Canada",44.6091375,-76.1226195
"Deseronto,Ontario,Canada",44.195005,-77.049866
"Don Mills,Ontario,Canada",43.737178,-79.3434514
"Dorset,Ontario,Canada",45.2438734,-78.8935012
"Dryden,Ontario,Canada",49.785698,-92.835846
"Dublin,Ontario,Canada",43.4984009,-81.2911804
"Dubreuilville,Ontario,Canada",48.349083,-84.5510486
"Dunchurch,Ontario,Canada",45.6456056,-79.8545193
"Dundas,Ontario,Canada",43.264206,-79.95369
"Durham,Ontario,Canada",44.0310471,-78.949678
"Earlton,Ontario,Canada",47.7105065,-79.8206953
"East York,Ontario,Canada",43.6913391,-79.3278212
"Eganville,Ontario,Canada",45.5406943,-77.1004317
"Elgin,Ontario,Canada",42.7269522,-81.3660384
"Elliot Lake,Ontario,Canada",46.373464,-82.652893
"Elmira,Ontario,Canada",43.6,-80.557654
"Elora,Ontario,Canada",43.681121,-80.429581
"Embrun,Ontario,Canada",45.2742012,-75.2749125
"Englehart,Ontario,Canada",47.821454,-79.874725
"Erin,Ontario,Canada",43.77506,-80.070076
"Espanola,Ontario,Canada",46.265341,-81.769867
"Essex,Ontario,Canada",42.2354142,-82.7120106
"Etobicoke,Ontario,Canada",43.67145915,-79.5524920661167
"Exeter,Ontario,Canada",43.3436295,-81.4798184
"Fenelon Falls,Ontario,Canada",44.535925,-78.737904
"Fenwick,Ontario,Canada",43.0248374,-79.3610045
